Pais;region;PCR   (+);PRUEBA RÁPIDA (+);PRUEBA ANTIGENO(+);total;FALLECIDOS
PERÚ;LIMA;728183;318745;622859;1793005;93740
PERÚ;CALLAO;68329;36629;50027;154985;10559
PERÚ;LA LIBERTAD;34796;39659;84231;158686;10907
PERÚ;AREQUIPA;59637;50434;141648;251719;10436
PERÚ;MOQUEGUA;15487;18225;21426;55138;1648
PERÚ;CUSCO;25299;25674;78600;129573;5232
PERÚ;LAMBAYEQUE;27381;35397;49856;112634;9271
PERÚ;PIURA;18150;46753;99005;163908;13140
PERÚ;AMAZONAS;11201;18720;18792;48713;1356
PERÚ;ICA;12159;33258;63583;109000;8976
PERÚ;JUNIN;24340;42386;71270;137996;7530
PERÚ;ANCASH;25721;29016;86772;141509;7261
PERÚ;CAJAMARCA;34113;28896;42583;105592;4501
PERÚ;HUANUCO;9752;21951;24492;56195;2922
PERÚ;APURIMAC;9480;8852;23681;42013;1650
PERÚ;PUNO;11346;21434;36337;69117;4843
PERÚ;TACNA;10119;15945;31209;57273;2150
PERÚ;LORETO;12695;28226;20825;61746;4406
PERÚ;SAN MARTIN;10841;28817;25647;65305;3185
PERÚ;AYACUCHO;12095;16322;22865;51282;2349
PERÚ;HUANCAVELICA;4582;8346;14290;27218;1285
PERÚ;PASCO;3074;9469;13352;25895;1115
PERÚ;TUMBES;11199;9021;9351;29571;1702
PERÚ;UCAYALI;7705;22016;11977;41698;3274
PERÚ;MADRE DE DIOS;5181;9950;4979;20110;865
